Model,Variable,Coefficient,Std_Error,P_Value,Sig
VULN-I.3-SQ,N,150,,,
VULN-I.3-SQ,Region Fixed Effects,Yes,,,
VULN-J.1,Constant,0.5962190744212659,0.035498924997311505,2.636667505452227e-63,***
VULN-J.1,Poverty Gap ($4.20/day),-0.001292685812356296,0.0017157420387020868,0.4511935607416425,
VULN-J.1,Log GDP per Capita (PPP),0.08675744581423908,0.02211672866752118,8.755961791121062e-05,***
VULN-J.1,Earthquake Count (Log),0.04304718940252389,0.014951838999755768,0.003988668563039768,***
VULN-J.1,Region FE: Europe & Central Asia,-0.06236948784073361,0.04535702197632813,0.169106958068848,
VULN-J.1,Region FE: Latin America & Caribbean,0.09110000331653333,0.05281153922690387,0.08452713758699626,*
VULN-J.1,Region FE: Middle East & North Africa,0.09420197510339638,0.06847153693377647,0.1688888324525828,
VULN-J.1,Region FE: North America,0.11176264183230018,0.08942205648066008,0.21136053923087017,
VULN-J.1,Region FE: South Asia,-0.24624923814411082,0.10370938223682077,0.017576725113511105,**
VULN-J.1,Region FE: Sub-Saharan Africa,-0.25573795738130334,0.05369594030334324,1.910143852985316e-06,***
VULN-J.1,R-squared,0.6460816832995877,,,
VULN-J.1,Adj. R-squared,0.623329791511704,,,
VULN-J.1,N,150,,,
VULN-J.1,Region Fixed Effects,Yes,,,
VULN-J.2,Constant,0.5958730165700169,0.03535437741313095,9.756876044966437e-64,***
VULN-J.2,Poverty Gap ($4.20/day),-0.0012351449054849636,0.0017481476631268545,0.47984930876045884,
VULN-J.2,Log GDP per Capita (PPP),0.08690494511697491,0.022239074318631806,9.315611787880215e-05,***
VULN-J.2,Earthquake Count (Log),0.03980643473993813,0.015340725132982347,0.009464021090632964,***
VULN-J.2,Poverty × Earthquake,-0.0007731901355583811,0.0013000586428312077,0.5520207465277871,
VULN-J.2,Region FE: Europe & Central Asia,-0.06103836994248185,0.04542916646608078,0.1790796078422271,
VULN-J.2,Region FE: Latin America & Caribbean,0.09211616608181274,0.05270050295204503,0.08047820001614964,*
VULN-J.2,Region FE: Middle East & North Africa,0.09456096952260658,0.06902956308680984,0.17073001006578692,
VULN-J.2,Region FE: North America,0.11136293627818014,0.09165431735226344,0.22435385450772682,
VULN-J.2,Region FE: South Asia,-0.24434935664902727,0.10392606179583586,0.018713746863915394,**
VULN-J.2,Region FE: Sub-Saharan Africa,-0.26096276659096124,0.05370886612621035,1.1807573052165148e-06,***
VULN-J.2,R-squared,0.6465382871167358,,,
VULN-J.2,Adj. R-squared,0.6211093869093067,,,
VULN-J.2,N,150,,,
VULN-J.2,Region Fixed Effects,Yes,,,
VULN-J.3,Constant,0.5968889652745828,0.03433563851324046,1.0917162389800542e-67,***
VULN-J.3,Poverty Gap ($4.20/day),-0.0007593742863930824,0.0017295965233096251,0.6606274300849259,
VULN-J.3,Log GDP per Capita (PPP),0.09128997589843266,0.021653519572268118,2.487380306019681e-05,***
VULN-J.3,Earthquake Count (Log),0.037941893444673636,0.015147615173473142,0.01225172916586914,**
VULN-J.3,C_log_GDP:C_log_DIS_EQK,0.02092024227451938,0.01643699917299059,0.20310565502403355,
VULN-J.3,Region FE: Europe & Central Asia,-0.056771242626392944,0.045705441606854934,0.2141955230223872,
VULN-J.3,Region FE: Latin America & Caribbean,0.09272156001596377,0.05214043190317674,0.07535387238694964,*
VULN-J.3,Region FE: Middle East & North Africa,0.09716149342280084,0.06864328295481795,0.15693506793283082,
VULN-J.3,Region FE: North America,0.09240012609287292,0.11183728316716265,0.4086898229326551,
VULN-J.3,Region FE: South Asia,-0.22445968292971633,0.10600306214743355,0.03421887587892223,**
VULN-J.3,Region FE: Sub-Saharan Africa,-0.2715977657415617,0.05409694213169029,5.151697889869843e-07,***
VULN-J.3,R-squared,0.6492113409280775,,,
VULN-J.3,Adj. R-squared,0.6239747467502414,,,
VULN-J.3,N,150,,,
VULN-J.3,Region Fixed Effects,Yes,,,
VULN-J.4,Constant,0.5644797400252078,0.034242190450773265,4.7092450652474136e-61,***
VULN-J.4,Poverty Gap ($4.20/day),-0.0015101979217956496,0.0017286160943177356,0.38231126067097454,
VULN-J.4,Log GDP per Capita (PPP),0.04105175662361915,0.029734213833587746,0.16739473060669963,
VULN-J.4,Government Effectiveness (WGI),0.06025307536850049,0.02693578884828891,0.025291883237223048,**
VULN-J.4,Earthquake Count (Log),0.04256579639027955,0.01571384843278056,0.006752542936622925,***
VULN-J.4,Gov. Effectiveness × Earthquake,0.022131514469671168,0.01662536843978771,0.18312669377346247,
VULN-J.4,Region FE: Europe & Central Asia,-0.01817493943814866,0.04810102811248104,0.7055425533827007,
VULN-J.4,Region FE: Latin America & Caribbean,0.14583440635076012,0.05093357053133605,0.004193491801948073,***
VULN-J.4,Region FE: Middle East & North Africa,0.15258834697662013,0.07433046743654108,0.04008837153330887,**
VULN-J.4,Region FE: North America,0.1179968841847099,0.1003111568307987,0.2394715496317983,
VULN-J.4,Region FE: South Asia,-0.22209044192160232,0.09533428276235827,0.019827470412193487,**
VULN-J.4,Region FE: Sub-Saharan Africa,-0.24130894866146327,0.053725350923497145,7.071381230540998e-06,***
