Variable,RC0-A-ONLY,RC0-A-VULN,RC0-B-ONLY,RC0-B-VULN,RC1-A-ONLY,RC1-A-VULN,RC1-B-ONLY,RC1-B-VULN,RC10-2-A-ONLY,RC10-2-A-VULN,RC10-2-B-ONLY,RC10-2-B-VULN,RC10-A-ONLY,RC10-A-VULN,RC10-B-ONLY,RC10-B-VULN,RC11-2-A-ONLY,RC11-2-A-VULN,RC11-2-B-ONLY,RC11-2-B-VULN,RC11-A-MPI,RC11-B-MPI,RC12-A-EAS-ONLY,RC12-A-EAS-VULN,RC12-A-EUR-ONLY,RC12-A-EUR-VULN,RC12-A-LAT-ONLY,RC12-A-LAT-VULN,RC12-A-MID-ONLY,RC12-A-MID-VULN,RC12-A-NOR-ONLY,RC12-A-NOR-VULN,RC12-A-SOU-ONLY,RC12-A-SOU-VULN,RC12-A-SUB-ONLY,RC12-A-SUB-VULN,RC12-B-EAS-ONLY,RC12-B-EAS-VULN,RC12-B-EUR-ONLY,RC12-B-EUR-VULN,RC12-B-LAT-ONLY,RC12-B-LAT-VULN,RC12-B-MID-ONLY,RC12-B-MID-VULN,RC12-B-NOR-ONLY,RC12-B-NOR-VULN,RC12-B-SOU-ONLY,RC12-B-SOU-VULN,RC12-B-SUB-ONLY,RC12-B-SUB-VULN,RC2-A-ONLY,RC2-A-VULN,RC2-B-ONLY,RC2-B-VULN,RC3-A-ONLY,RC3-A-VULN,RC3-B-ONLY,RC3-B-VULN,RC4-A-ONLY,RC4-A-VULN,RC4-B-ONLY,RC4-B-VULN,RC5-A-ONLY,RC5-A-VULN,RC5-B-ONLY,RC5-B-VULN,RC6-A-ONLY,RC6-A-VULN,RC6-B-ONLY,RC6-B-VULN,RC7-A-ONLY,RC7-A-VULN,RC7-B-ONLY,RC7-B-VULN,RC8-A-ONLY,RC8-A-VULN,RC8-B-ONLY,RC8-B-VULN,RC9-A-ONLY,RC9-A-VULN,RC9-B-ONLY,RC9-B-VULN
C_POVERTY_830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021,-0.0033*,-0.0033**,-0.0037***,,,,,,,,,,,,,,,,,,,,
C_POVERTY_sub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013,-0.0024,-0.0020,-0.0037**,0.0031,-0.0054,-0.0003,-0.0103,,,,,,,,
C_log_DIS_EQK,0.0408**,0.0642***,0.0295,0.0549***,0.0466***,0.0653***,0.0399**,0.0584***,,,,,,,,,0.0321*,0.0446*,0.0246,0.0348,3.0956**,2.2049,0.0271,0.0524**,0.0200,0.0522**,0.0523**,0.0597***,0.0455**,0.0693***,0.0417**,0.0667***,0.0360*,0.0594***,0.0554**,0.0822***,0.0245,0.0461**,0.0120,0.0452**,0.0404,0.0508**,0.0299,0.0566***,0.0296,0.0569***,0.0271,0.0524***,0.0392,0.0740***,0.0401**,0.0631***,0.0304,0.0560***,0.0409**,0.0646***,0.0292,0.0545***,0.0403**,0.0642***,0.0326,0.0582***,0.0293,0.0670***,0.0177,0.0487***,0.0455,0.0847**,0.0330,0.0721**,0.0568*,0.0726***,0.0551*,0.0683***,0.0331*,0.0639***,0.0214,0.0545***,0.0409*,0.0647***,0.0269,0.0533**
C_log_DIS_EQK_DEATHS,,,,,,,,,0.0033,0.0075,0.0009,0.0052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_log_DIS_FLD,-0.0146,-0.0332*,-0.0155,-0.0306,-0.0104,-0.0311*,-0.0126,-0.0286,,,,,,,,,-0.0215,-0.0340*,-0.0175,-0.0315,-4.7911***,-2.6781,-0.0295*,-0.0402**,0.0114,-0.0388*,-0.0231,-0.0172,-0.0103,-0.0277,-0.0149,-0.0340**,-0.0080,-0.0273,-0.0301,-0.0549***,-0.0264,-0.0430**,0.0040,-0.0372*,-0.0283,-0.0167,-0.0105,-0.0238,-0.0155,-0.0309,-0.0084,-0.0241,-0.0244,-0.0437*,-0.0130,-0.0304*,-0.0130,-0.0275,-0.0147,-0.0340**,-0.0165,-0.0321*,-0.0114,-0.0296*,-0.0123,-0.0278,-0.0333*,-0.0379*,-0.0273,-0.0335,-0.0196,-0.0504,-0.0236,-0.0453,-0.0426*,-0.0332,-0.0309,-0.0234,-0.0151,-0.0341**,-0.0158,-0.0310,-0.0148,-0.0326*,-0.0155,-0.0300
C_log_DIS_FLD_DEATHS,,,,,,,,,0.0038,-0.0140*,0.0019,-0.0165*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_log_DIS_STM,-0.0023,0.0086,0.0026,0.0104,-0.0019,0.0076,-0.0008,0.0067,,,,,,,,,0.0106,0.0257,0.0138,0.0273,1.9219*,2.0783,-0.0015,0.0047,0.0067,0.0316,-0.0101,-0.0102,-0.0077,0.0055,-0.0017,0.0105,-0.0004,0.0105,0.0003,0.0124,0.0005,0.0094,0.0066,0.0309*,-0.0019,-0.0040,-0.0001,0.0074,0.0027,0.0118,0.0050,0.0127,0.0028,0.0089,-0.0003,0.0101,0.0022,0.0094,-0.0035,0.0067,0.0017,0.0093,0.0012,0.0109,0.0028,0.0096,0.0031,0.0065,0.0074,0.0139,0.0001,0.0245,-0.0023,0.0229,-0.0168,-0.0225,-0.0222,-0.0259,-0.0053,0.0093,-0.0008,0.0108,-0.0023,0.0095,0.0031,0.0117
C_log_DIS_STM_DEATHS,,,,,,,,,0.0021,0.0137*,0.0037,0.0146*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_log_GDP,0.0957***,0.0855***,,,0.0526**,0.0650***,,,0.0937***,0.0844***,,,0.0898***,0.0850***,,,0.0844***,0.0880***,,,15.3109***,,0.0708***,0.0724***,0.0955***,0.1036***,0.1007***,0.0941***,0.0977***,0.0805***,0.0957***,0.0855***,0.0905***,0.0803***,0.1041***,0.0662*,,,,,,,,,,,,,,,0.0826***,0.0642**,,,0.0977***,0.0929***,,,0.0650**,0.0504,,,0.0802***,0.1028***,,,,,,,,,,,0.0944***,0.0851***,,,0.0968***,0.0871***,,
C_log_GDP_sub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0396,0.0897**,,,0.0547,0.0916,,,,,,,,,,
EQK_any,,,,,,,,,,,,,0.0227,0.0323,0.0122,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLD_any,,,,,,,,,,,,,-0.0766,-0.0458,-0.0852,-0.0356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercept,0.2511***,0.5831***,0.2261***,0.5580***,0.3598***,0.6428***,0.3647***,0.6330***,0.2580***,0.5869***,0.2318***,0.5666***,0.3408***,0.6222***,0.3418***,0.5976***,0.1637***,0.4207***,0.1334***,0.3957***,92.9472***,84.8075***,0.2249***,0.4884***,0.2489***,0.5760***,0.2540***,0.6029***,0.2548***,0.5811***,0.2501***,0.5801***,0.2493***,0.5813***,0.2311***,0.5402***,0.2241***,0.4860***,0.2341***,0.5412***,0.2279***,0.5704***,0.2284***,0.5579***,0.2259***,0.5551***,0.2225***,0.5546***,0.2080***,0.5221***,0.2432***,0.5754***,0.2259***,0.5596***,0.2547***,0.5898***,0.2294***,0.5624***,0.2386***,0.5748***,0.2289***,0.5647***,0.3791***,0.6187***,0.3640***,0.5959***,0.0687*,0.4312***,0.0995***,0.4309***,0.5369***,0.7758***,0.5167***,0.7315***,0.2425***,0.5777***,0.2187***,0.5530***,0.2575***,0.5927***,0.2320***,0.5674***
Poverty_Q2,,,,,-0.1411***,-0.0533,-0.1433***,-0.0498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty_Q3,,,,,-0.1849***,-0.0787,-0.1995***,-0.0844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty_Q4,,,,,-0.1955**,-0.1471*,-0.2261***,-0.1703**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STM_any,,,,,,,,,,,,,-0.0158,0.0199,-0.0237,0.0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
